id,family,genus,species,location,weight,tl,sl,delta15N,troph
MOO18_F144,Acanthuridae,Acanthurus,Acanthurus lineatus,Moorea,216.2,252,183,7.51,2
MOO18_F146,Cirrhitidae,Paracirrhites,Paracirrhites hemistictus,Moorea,135.2,196,161,11.6,3.83
MOO18_F147,Balistidae,Sufflamen,Sufflamen bursa,Moorea,45.7,125,97,10.5,3.36
MOO18_F150,Holocentridae,Sargocentron,Sargocentron tiere,Moorea,328.2,275,192,12.25,4.18
MOO18_F152,Balistidae,Sufflamen,Sufflamen bursa,Moorea,36.6,118,90,10.02,3.36
MOO18_F155,Tetraodontidae,Arothron,Arothron meleagris,Moorea,254.7,194,140,9.58,3.06
MOO18_F157,Serranidae,Epinephelus,Epinephelus hexagonatus,Moorea,182.4,223,179,11.71,4.05
MOO18_F158,Acanthuridae,Naso,Naso lituratus,Moorea,168.9,210,157,6.97,2.32
MOO18_F159,Serranidae,Epinephelus,Epinephelus hexagonatus,Moorea,45.9,152,130,10.37,4.05
MOO18_F160,Tetraodontidae,Arothron,Arothron meleagris,Moorea,408.8,227,181,9.56,3.06
MOO18_F162,Acanthuridae,Acanthurus,Acanthurus guttatus,Moorea,114.7,165,132,7.92,2
MOO18_F163,Balistidae,Balistapus,Balistapus undulatus,Moorea,145.2,183,142,11.41,3.37
MOO18_F166,Holocentridae,Neoniphon,Neoniphon argenteus,Moorea,68.3,180,139,9.73,3.96
MOO18_F167,Pomacanthidae,Pygoplites,Pygoplites diacanthus,Moorea,119.3,170,136,12.16,2.69
MOO18_F168,Chaetodontidae,Forcipiger,Forcipiger flavissimus,Moorea,42.6,156,129,11.47,3.38
MOO18_F169,Pomacanthidae,Pygoplites,Pygoplites diacanthus,Moorea,176.6,190,161,12.38,2.69
MOO18_F173,Lutjanidae,Lutjanus,Lutjanus fulvus,Moorea,75.8,173,131,11.4,3.66
MOO18_F174,Acanthuridae,Acanthurus,Acanthurus pyroferus,Moorea,61.7,152,108,7.82,2
MOO18_F175,Lutjanidae,Lutjanus,Lutjanus fulvus,Moorea,80.5,181,139,11.58,3.66
MOO18_F177,Labridae,Cheilinus,Cheilinus chlorourus,Moorea,77.1,166,125,10.75,3.46
MOO18_F178,Balistidae,Sufflamen,Sufflamen bursa,Moorea,113.8,174,134,10.31,3.36
MOO18_F179,Scorpaenidae,Pterois,Pterois radiata,Moorea,30.5,131,99,11.14,3.57
MOO18_F180,Pomacentridae,Abudefduf,Abudefduf sexfasciatus,Moorea,76.3,165,128,10.48,2.7
MOO18_F181,Chaetodontidae,Forcipiger,Forcipiger flavissimus,Moorea,43.3,150,122,11.51,3.38
MOO18_F182,Lethrinidae,Monotaxis,Monotaxis grandoculis,Moorea,63.2,162,114,9.73,3.4
MOO18_F183,Pomacentridae,Dascyllus,Dascyllus trimaculatus,Moorea,46.7,124,102,9.91,2.8
MOO18_F184,Holocentridae,Neoniphon,Neoniphon sammara,Moorea,50.2,170,135,10.74,3.37
MOO18_F185,Holocentridae,Myripristis,Myripristis kuntee,Moorea,56.1,152,107,10.74,3.1
MOO18_F186,Diodontidae,Diodon,Diodon hystrix,Moorea,849.1,340,275,11.33,3.61
MOO18_F188,Aulostomidae,Aulostomus,Aulostomus chinensis,Moorea,197.1,499,447,9.87,4.24
MOO18_F193,Labridae,Halichoeres,Halichoeres hortulanus,Moorea,249.8,261,200,8.69,3.4
MOO18_F195,Labridae,Halichoeres,Halichoeres hortulanus,Moorea,158.2,212,190,8.6,3.4
MOO18_F196,Labridae,Epibulus,Epibulus insidiator,Moorea,243.1,264,182,10.53,4.01
MOO18_F197,Lethrinidae,Monotaxis,Monotaxis grandoculis,Moorea,116.1,201,154,8.08,3.4
MOO18_F198,Balistidae,Rhinecanthus,Rhinecanthus aculeatus,Moorea,201.5,205,185,8.12,3.22
MOO18_F199,Labridae,Gomphosus,Gomphosus varius,Moorea,94.2,224,183,8.74,3.5
MOO18_F200,Pomacentridae,Stegastes,Stegastes nigricans,Moorea,49.1,120,98,8.33,2.93
MOO18_F201,Holocentridae,Myripristis,Myripristis berndti,Moorea,163.4,212,174,10.81,3.72
MOO18_F204,Labridae,Thalassoma,Thalassoma hardwicke,Moorea,67.6,174,125,8.95,3.5
MOO18_F205,Tetraodontidae,Canthigaster,Canthigaster valentini,Moorea,16.8,89,68,8.2,2.84
MOO18_F206,Pinguipedidae,Parapercis,Parapercis millepunctata,Moorea,26.7,145,122,8.97,3.63
MOO18_F207,Pinguipedidae,Parapercis,Parapercis millepunctata,Moorea,21.2,143,121,8.88,3.63
MOO18_F209,Acanthuridae,Acanthurus,Acanthurus guttatus,Moorea,169.5,175,140,6.32,2
MOO18_F210,Pomacanthidae,Centropyge,Centropyge loriculus,Moorea,7.9,64,49,9.25,2.78
MOO18_F212,Acanthuridae,Acanthurus,Acanthurus nigricans,Moorea,81.5,149,120,7.61,2
MOO18_F213,Labridae,Coris,Coris gaimard,Moorea,237.4,222,188,11.33,3.4
MOO18_F214,Acanthuridae,Acanthurus,Acanthurus nigricans,Moorea,121.1,184,141,7.24,2
MOO18_F215,Serranidae,Pseudanthias,Pseudanthias pascalus,Moorea,17.4,130,84,9.08,3.33
MOO18_F216,Chaetodontidae,Chaetodon,Chaetodon lunula,Moorea,133.2,169,140,10.15,2.99
MOO18_F217,Chaetodontidae,Chaetodon,Chaetodon reticulatus,Moorea,59.1,123,109,9.68,2.63
MOO18_F218,Cirrhitidae,Paracirrhites,Paracirrhites forsteri,Moorea,81.8,174,135,12.3,4.3
MOO18_F219,Lethrinidae,Monotaxis,Monotaxis grandoculis,Moorea,240.1,158,195,11.42,3.4
MOO18_F220,Labridae,Epibulus,Epibulus insidiator,Moorea,279.6,300,220,12.08,4.01
MOO18_F221,Cirrhitidae,Paracirrhites,Paracirrhites hemistictus,Moorea,132.2,189,146,11.22,3.83
MOO18_F224,Labridae,Hemigymnus,Hemigymnus fasciatus,Moorea,151.2,195,178,10.66,3.5
MOO18_F225,Labridae,Anampses,Anampses caeruleopunctatus,Moorea,41.6,148,123,8.53,3.37
MOO18_F226,Serranidae,Cephalopholis,Cephalopholis urodeta,Moorea,73.9,170,134,11.38,4.02
MOO18_F227,Serranidae,Cephalopholis,Cephalopholis urodeta,Moorea,67.6,160,132,11.76,4.02
MOO18_F228,Labridae,Hemigymnus,Hemigymnus fasciatus,Moorea,39.9,145,120,10.15,3.5
MOO18_F229,Zanclidae,Zanclus,Zanclus cornutus,Moorea,104.7,161,124,10.3,2.49
MOO18_F231,Holocentridae,Sargocentron,Sargocentron spiniferum,Moorea,142.7,212,165,9.64,3.8
MOO18_F232,Acanthuridae,Acanthurus,Acanthurus nigrofuscus,Moorea,26.6,121,75,6.58,2
MOO18_F233,Holocentridae,Myripristis,Myripristis kuntee,Moorea,72.5,175,126,10.46,3.1
MOO18_F235,Holocentridae,Neoniphon,Neoniphon sammara,Moorea,70.1,181,141,9.37,3.37
MOO18_F236,Holocentridae,Myripristis,Myripristis kuntee,Moorea,85.3,178,127,10.39,3.1
MOO18_F237,Holocentridae,Neoniphon,Neoniphon sammara,Moorea,103.7,189,152,9.97,3.37
MOO18_F238,Holocentridae,Myripristis,Myripristis violacea,Moorea,98.5,170,125,10.49,3.45
MOO18_F241,Mullidae,Parupeneus,Parupeneus multifasciatus,Moorea,107.3,214,159,9.32,3.61
MOO18_F243,Mullidae,Parupeneus,Parupeneus multifasciatus,Moorea,132.6,220,190,9.98,3.61
MOO18_F244,Mullidae,Mulloidichthys,Mulloidichthys flavolineatus,Moorea,147.5,253,184,9.72,3.47
MOO18_F245,Lethrinidae,Gnathodentex,Gnathodentex aureolineatus,Moorea,136.3,311,151,9.32,3.65
